"id","dam","sire"
"BH62596",NA,NA
"BH62594",NA,NA
"BC85049",NA,NA
"BA44517",NA,NA
"BH17807",NA,NA
"BH62347",NA,NA
"BH62451",NA,NA
"BH17805",NA,NA
"BH62453",NA,NA
"BA44746",NA,NA
"BA44750",NA,NA
"BC85062",NA,NA
"BA44727",NA,NA
"BA47577",NA,NA
"BA72776",NA,NA
"607468",NA,NA
"BA12932",NA,NA
"K50734",NA,NA
"BA12839",NA,NA
"608502",NA,NA
"19601B96_DAM",NA,NA
"19941O8_DAM",NA,NA
"H300517",NA,NA
"19941MP21_DAM",NA,NA
"H301034",NA,NA
"H301338",NA,NA
"F938391",NA,NA
"J745101",NA,NA
"H301336",NA,NA
"F938361",NA,NA
"F938342",NA,NA
"H301342",NA,NA
"F938405",NA,NA
"H300515",NA,NA
"J745151",NA,NA
"J745107",NA,NA
"H301314",NA,NA
"H301225",NA,NA
"J745153",NA,NA
"F873546",NA,NA
"19941MP86_DAM",NA,NA
"H301201",NA,NA
"H301361",NA,NA
"J745155",NA,NA
"H301364",NA,NA
"19941XJ3_DAM",NA,NA
"H301355",NA,NA
"H300540",NA,NA
"19941MP73_DAM",NA,NA
"H301363",NA,NA
"H301356",NA,NA
"F938399",NA,NA
"19941P21_DAM",NA,NA
"J745165",NA,NA
"H301124",NA,NA
"H301383",NA,NA
"H301725",NA,NA
"H301726",NA,NA
"H301728",NA,NA
"VN88144",NA,NA
"F938408",NA,NA
"H301724",NA,NA
"H301347",NA,NA
"H301730",NA,NA
"F873554",NA,NA
"H301734",NA,NA
"F873553",NA,NA
"H301735",NA,NA
"F938418",NA,NA
"J745176",NA,NA
"H301740",NA,NA
"J745175",NA,NA
"H301743",NA,NA
"H301691",NA,NA
"19951EX100_DAM",NA,NA
"F938417",NA,NA
"H301746",NA,NA
"J745184",NA,NA
"F873558",NA,NA
"19951W23_DAM",NA,NA
"VN56303",NA,NA
"H301348",NA,NA
"J745187",NA,NA
"J745183",NA,NA
"F873559",NA,NA
"H301755",NA,NA
"19951B8_DAM",NA,NA
"19951B58_DAM",NA,NA
"J745923",NA,NA
"E509231",NA,NA
"J745928",NA,NA
"J745930",NA,NA
"J745932",NA,NA
"J745927",NA,NA
"H301792",NA,NA
"VN56360",NA,NA
"F938422",NA,NA
"F938425",NA,NA
"K578306",NA,NA
"K578305",NA,NA
"VN56344",NA,NA
"VP51997",NA,NA
"VJ58361",NA,NA
"J745934",NA,NA
"E018137",NA,NA
"K578323",NA,NA
"F938426",NA,NA
"J745939",NA,NA
"J745943",NA,NA
"VN56346",NA,NA
"F873567",NA,NA
"K578316",NA,NA
"F938428",NA,NA
"K578318",NA,NA
"19961MP78_DAM",NA,NA
"J745948",NA,NA
"19961B62A_DAM",NA,NA
"K578327",NA,NA
"K578329",NA,NA
"J745954",NA,NA
"F938427",NA,NA
"K578328",NA,NA
"19961B25_DAM",NA,NA
"J745955",NA,NA
"19971C160A_DAM",NA,NA
"F938437",NA,NA
"J644079",NA,NA
"K604507",NA,NA
"F873572",NA,NA
"J644083",NA,NA
"F938440",NA,NA
"VN86437",NA,NA
"K604703",NA,NA
"K604506",NA,NA
"F873573",NA,NA
"K604712",NA,NA
"H301774",NA,NA
"F938448",NA,NA
"19971EX3_DAM",NA,NA
"K604503",NA,NA
"K604502",NA,NA
"J644089",NA,NA
"J644098",NA,NA
"VR27722",NA,NA
"F873581",NA,NA
"K604704",NA,NA
"F938445",NA,NA
"E509237",NA,NA
"H301801",NA,NA
"J644093",NA,NA
"K604709",NA,NA
"F938604",NA,NA
"F938605",NA,NA
"K604511",NA,NA
"K604706",NA,NA
"H301808",NA,NA
"F938447",NA,NA
"H301788",NA,NA
"F873583",NA,NA
"H301816",NA,NA
"K604715",NA,NA
"K604726",NA,NA
"K604543",NA,NA
"K578101",NA,NA
"K578104",NA,NA
"K604545",NA,NA
"F938622",NA,NA
"H301932",NA,NA
"NO92467",NA,NA
"J644169",NA,NA
"K578108",NA,NA
"K578107",NA,NA
"K578106",NA,NA
"K604549",NA,NA
"F938624",NA,NA
"K578504",NA,NA
"K578123",NA,NA
"K578511",NA,NA
"F938621",NA,NA
"K578130",NA,NA
"K578124",NA,NA
"H301886",NA,NA
"VN56376",NA,NA
"19981W59_DAM",NA,NA
"K578135",NA,NA
"19981EX41E_DAM",NA,NA
"K604505",NA,NA
"K604570",NA,NA
"K578536",NA,NA
"F873597",NA,NA
"K604571",NA,NA
"K604574",NA,NA
"K604550",NA,NA
"K604576",NA,NA
"J745053",NA,NA
"J745055",NA,NA
"K604762",NA,NA
"K578544",NA,NA
"J745056",NA,NA
"19991W5_DAM",NA,NA
"K578547",NA,NA
"J745065",NA,NA
"K604784",NA,NA
"K604567",NA,NA
"J745068",NA,NA
"K578552",NA,NA
"K578550",NA,NA
"J745071",NA,NA
"K578558",NA,NA
"K578200",NA,NA
"J745076",NA,NA
"F873588",NA,NA
"H300003",NA,NA
"H300005",NA,NA
"P282313",NA,NA
"H300007",NA,NA
"K578562",NA,NA
"K578570",NA,NA
"H300010",NA,NA
"K604663",NA,NA
"H300022",NA,NA
"K604665",NA,NA
"K604671",NA,NA
"K604669",NA,NA
"J745081",NA,NA
"K578571",NA,NA
"K578566",NA,NA
"K604667",NA,NA
"P107998",NA,NA
"H300013",NA,NA
"K604679",NA,NA
"20001MP27_DAM",NA,NA
"K578018",NA,NA
"K604611",NA,NA
"20001MP12_DAM",NA,NA
"K578017",NA,NA
"K578028",NA,NA
"K604677",NA,NA
"H300019",NA,NA
"K604678",NA,NA
"K604676",NA,NA
"F938638",NA,NA
"K604566",NA,NA
"K578577",NA,NA
"K578582",NA,NA
"J745070",NA,NA
"VS79003",NA,NA
"K604674",NA,NA
"K578162",NA,NA
"K578584",NA,NA
"K604953",NA,NA
"H300024",NA,NA
"K578019",NA,NA
"K604644",NA,NA
"P282310",NA,NA
"K604682",NA,NA
"VX13438",NA,NA
"K578024",NA,NA
"K604696",NA,NA
"K604640",NA,NA
"N200047",NA,NA
"N200053",NA,NA
"20011C7_DAM",NA,NA
"H300032",NA,NA
"K578030",NA,NA
"C695335",NA,NA
"N200008",NA,NA
"N200007",NA,NA
"C695338",NA,NA
"H300031",NA,NA
"N200034",NA,NA
"C695355",NA,NA
"K578037",NA,NA
"N200035",NA,NA
"N200041",NA,NA
"20011W59_DAM",NA,NA
"C695356",NA,NA
"K578040",NA,NA
"K578029",NA,NA
"K578027",NA,NA
"N200040",NA,NA
"H300040",NA,NA
"H300015",NA,NA
"C695359",NA,NA
"VX13433",NA,NA
"K578049",NA,NA
"N200038",NA,NA
"N200044",NA,NA
"C695358",NA,NA
"C695386",NA,NA
"N200060",NA,NA
"C695360",NA,NA
"C695385",NA,NA
"N200059",NA,NA
"K578422",NA,NA
"K578052",NA,NA
"N200075",NA,NA
"K578063",NA,NA
"N200080",NA,NA
"K578064",NA,NA
"N200084",NA,NA
"C695326",NA,NA
"K578601",NA,NA
"N200561",NA,NA
"N200101",NA,NA
